AFiDs_line,Annotation figure IDs file name,common_database_double-checked file name 
1257,50-27-1_7-20220524T041419.pcd,50-27-1_7-20220524T041419.pcd
1270,50-27-1_7-20220525T030449.pcd,50-27-1_7-20220525T030449.pcd
1285,50-27-1_7-20220527T045102.pcd,50-27-1_7-20220527T045102.pcd
1300,50-27-1_7-20220530T074538.pcd,50-27-1_7-20220530T074538.pcd
1306,50-27-1_7-20220531T042054.pcd,50-27-1_7-20220531T042054.pcd
1312,50-27-1_7-20220601T033109.pcd,50-27-1_7-20220601T033109.pcd
1318,50-27-1_7-20220602T052138.pcd,50-27-1_7-20220602T052138.pcd
1324,50-27-1_9-20220523T042520.pcd,50-27-1_9-20220523T042520.pcd
1339,50-27-1_9-20220524T041419.pcd,50-27-1_9-20220524T041419.pcd
1354,50-27-1_9-20220525T030449.pcd,50-27-1_9-20220525T030449.pcd
1369,50-27-1_9-20220527T045102.pcd,50-27-1_9-20220527T045102.pcd
1384,50-27-1_9-20220530T074538.pcd,50-27-1_9-20220530T074538.pcd
1388,50-27-1_9-20220531T042054.pcd,50-27-1_9-20220531T042054.pcd
1392,50-27-1_9-20220601T033109.pcd,50-27-1_9-20220601T033109.pcd
1396,50-27-1_9-20220602T052138.pcd,50-27-1_9-20220602T052138.pcd
1494,59-79-1_10-20230729T054442.pcd,59-79-1_10-20230729T054442.pcd
1413,59-79-1_1-20230731T063312.pcd,59-79-1_1-20230731T063312.pcd
1421,59-79-1_1-20230801T090222.pcd,59-79-1_1-20230801T090222.pcd
1428,59-79-1_1-20230802T034543.pcd,59-79-1_1-20230802T034543.pcd
1435,59-79-1_1-20230802T082140.pcd,59-79-1_1-20230802T082140.pcd
1441,59-79-1_1-20230803T051109.pcd,59-79-1_1-20230803T051109.pcd
1448,59-79-1_1-20230803T082206.pcd,59-79-1_1-20230803T082206.pcd
1456,59-79-1_1-20230804T083131.pcd,59-79-1_1-20230804T083131.pcd
1463,59-79-1_1-20230805T085523.pcd,59-79-1_1-20230805T085523.pcd
1470,59-79-1_1-20230807T050152.pcd,59-79-1_1-20230807T050152.pcd
1474,59-79-1_1-20230807T081832.pcd,59-79-1_1-20230807T081832.pcd
1478,59-79-1_1-20230808T041812.pcd,59-79-1_1-20230808T041812.pcd
1482,59-79-1_1-20230808T084305.pcd,59-79-1_1-20230808T084305.pcd
1844,59-79-1_8-20230729T054442.pcd,59-79-1_8-20230729T054442.pcd
Added samples223
