pcd_file_name,sample_points,sample_points_not_labeled,sample_objects_count,sample_organs_count,sample_plants_count,SPOI
59-79-1_9-20230803T082206.pcd,47257,5442,7,0,7,0.6013357960321356
59-79-1_9-20230804T040520.pcd,48875,3598,7,0,7,0.7991969917885098
59-79-1_9-20230804T083131.pcd,52931,3156,8,0,8,1.2414480966265784
59-79-1_9-20230807T050152.pcd,41534,9897,4,0,4,0.2169842751203087
59-79-1_9-20230807T081832.pcd,51751,13370,4,0,4,0.1994388317261126
59-79-1_9-20230808T041812.pcd,56469,10348,4,0,4,0.3768881127628249
59-79-1_9-20230808T084305.pcd,54141,6535,4,0,4,0.283490037788314
59-79-2_1-20230729T054442.pcd,25897,364,13,0,13,1.5029523386712624
59-79-2_1-20230731T063312.pcd,26026,140,8,0,8,0.5728751433860754
59-79-2_1-20230801T090222.pcd,28184,391,8,0,8,0.6879225649725744
50-27-1_1-20220525T030449.pcd,8613,199,18,18,13,0.4308533344259168
